Mach,Alpha_deg,CL,CM,CD
0.8,0.0,0.0,,0.236
0.8,4.0,0.971,,
0.8,8.0,1.942,,
0.8,12.0,2.914,,
0.8,16.0,3.885,,
0.8,20.0,4.856,,
1.2,0.0,0.0,,0.429
1.2,4.0,0.907,,
1.2,8.0,1.813,,
1.2,12.0,2.72,,
1.2,16.0,3.627,,
1.2,20.0,4.533,,
1.6,0.0,,0.0,
1.6,4.0,,-2.919,
1.6,8.0,,-5.833,
1.6,12.0,,-8.672,
1.6,16.0,,,
1.6,20.0,,,
2.0,0.0,,0.0,
2.0,4.0,,-2.128,
2.0,8.0,,-4.354,
2.0,12.0,,-6.743,
2.0,16.0,,-9.391,
2.0,20.0,,,
3.0,0.0,,0.0,
3.0,4.0,,-1.263,
3.0,8.0,,-2.63,
3.0,12.0,,-4.189,
3.0,16.0,,-6.011,
3.0,20.0,,-8.011,
